src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.68.129,192.168.68.2,50572,53,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,6,2024-12-11 01:04:28,212851.76277160645,4801.463641607814,46.981053244694856,23.490526622347428,23.490526622347428,5,5,343,679,103.0,54.0,68.6,19.5509590557599,439.0,60.0,135.8,151.6,439,54,102.2,113.18727843711059,12811.36,100,100,20,1,23650.195863511828,198006.62994384766,36.95487976074219,61704.91993766951,212447.8816986084,198333.9786529541,108.95729064941406,53111.9704246521,83895.25464866478,204838.51432800293,198043.5848236084,566.0057067871094,51209.62858200073,84797.75490940541,0,0,0,0,1,0,0,0,0,0,0,1.0,102.2,64240,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,4.0,0.0,1972.8548042031744,68.6,135.8,0,5,5,343,679
192.168.68.129,192.168.68.2,34882,53,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,17,2024-12-11 01:04:28,9123.086929321289,42967.91240036587,219.22404285900953,109.61202142950476,109.61202142950476,1,1,100,292,100.0,100.0,100.0,0.0,292.0,292.0,292.0,0.0,292,100,196.0,96.0,9216.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,196.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,292.0,0,1,1,100,292
192.168.68.129,91.189.91.97,58192,80,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,6,2024-12-11 01:04:28,525573.9688873291,1411.7898600854558,15.221454017093862,7.610727008546931,7.610727008546931,4,4,323,419,141.0,54.0,80.75,35.73076405564258,239.0,60.0,104.75,77.50927363870726,239,54,92.75,61.532003867906006,3786.1875,80,80,20,1,75081.99555533273,262516.0217285156,100.85105895996094,118083.44251275544,525182.9624176025,262616.8727874756,188.35067749023438,175060.98747253418,123653.66586016568,263057.9471588135,261057.61528015137,713.348388671875,87685.98238627116,122592.48096444072,0,0,0,0,1,0,0,0,0,0,0,1.0,92.75,64240,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.75,104.75,0,4,4,323,419
192.168.68.129,91.189.91.157,50470,123,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,17,2024-12-11 01:06:19,272636.41357421875,660.219952427592,7.335777249195466,3.667888624597733,3.667888624597733,1,1,90,90,90.0,90.0,90.0,0.0,90.0,90.0,90.0,0.0,90,90,90.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0,1,1,90,90
192.168.68.1,224.0.0.251,5353,5353,00:50:56:c0:00:08,01:00:5e:00:00:fb,17,2024-12-11 01:06:54,4060646.0571289062,197.01298481691427,1.9701298481691427,1.9701298481691427,0.0,8,0,800,0,119.0,81.0,100.0,19.0,0.0,0.0,0.0,0.0,119,81,100.0,19.0,361.0,64,0,8,8,580092.2938755581,4048658.3709716797,1099.8249053955078,1416036.2917363485,4060646.0571289062,4048658.3709716797,1099.8249053955078,580092.2938755581,1416036.2917363485,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,4.0,0.0,0.0,38706.38536197295,0.0,100.0,0.0,0,8,0,800,0
192.168.68.1,192.168.68.254,68,67,00:50:56:c0:00:08,00:50:56:e8:c9:05,17,2024-12-11 01:06:58,0.0,0,0,0,0,1,1,358,342,358.0,358.0,358.0,0.0,342.0,342.0,342.0,0.0,358,342,350.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,350.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,342.0,0,1,1,358,342
192.168.68.129,192.168.68.254,68,67,00:0c:29:3d:d9:99,00:50:56:e8:c9:05,17,2024-12-11 01:07:27,842.0944213867188,793260.2129105323,2375.030577576444,1187.515288788222,1187.515288788222,1,1,326,342,326.0,326.0,326.0,0.0,342.0,342.0,342.0,0.0,342,326,334.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,334.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,342.0,0,1,1,326,342
192.168.68.129,192.168.68.2,49859,53,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,17,2024-12-11 01:09:28,7515.907287597656,71315.40870447912,266.10227128536985,133.05113564268493,133.05113564268493,1,1,100,436,100.0,100.0,100.0,0.0,436.0,436.0,436.0,0.0,436,100,268.0,168.0,28224.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,268.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,436.0,0,1,1,100,436
192.168.68.129,192.168.68.2,37114,53,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,17,2024-12-11 01:09:28,5845.069885253906,67065.06640561266,342.168706151085,171.0843530755425,171.0843530755425,1,1,100,292,100.0,100.0,100.0,0.0,292.0,292.0,292.0,0.0,292,100,196.0,96.0,9216.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,196.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,292.0,0,1,1,100,292
192.168.68.129,91.189.91.96,33412,80,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,6,2024-12-11 01:09:28,549035.7875823975,1559.096910183718,18.213748950744368,9.106874475372184,9.106874475372184,5,5,377,479,141.0,54.0,75.4,33.70222544580699,239.0,60.0,95.8,71.6,239,54,85.6,56.879170176787916,3235.2400000000002,100,100,20,1,61003.976398044164,274000.883102417,86.30752563476562,112510.91598265638,548612.8330230713,274087.19062805176,840.9023284912109,137153.20825576782,134635.74175969197,275034.90447998047,268936.1572265625,442.9817199707031,68758.72611999512,115584.05030391371,0,0,0,0,1,0,0,0,0,0,0,1.0,85.6,64240,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,4.0,0.0,750.8772236783158,75.4,95.8,0,5,5,377,479
192.168.68.129,224.0.0.251,5353,5353,00:0c:29:3d:d9:99,01:00:5e:00:00:fb,17,2024-12-11 01:09:30,0.0,0,0,0,0,1,0,87,0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,87,87,87.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,87.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0,1,0,87,0
